"CitationKey","PaperTitle","ThesisCitationLocation","ThesisCitingParagraph","RelationToCitingParagraph","RelevantPassageSection","RelevantPassageInPaper","PDFPath"
"Tsubouchi2025npjQI","Symmetric Clifford twirling for cost-optimal quantum error mitigation in early FTQC","Line 814; Line 874","L814: At the same time, the Gaussian distribution of the PEC results is broader than that of the corresponding No-PEC results. This trend is again consistent with the theoretical behavior of probabilistic error cancellation: the quasi-probability reweighting reduces the bias of the noisy estimate and improves the mean CHSH value, but it also amplifies the statistical fluctuation of the mitigated estimator \cite{Qin2023npjQI,Tsubouchi2025npjQI}. This effect is reflected in the larger standard deviations of the PEC results, namely $0.037$ versus $0.029$ for the ibm\_fez case and $0.016$ versus $0.012$ for the ibm\_boston case.

L874: Another common feature is that the Gaussian distribution of the PEC results is broader than that of the corresponding No-PEC results. This behavior is consistent with the theoretical expectation of probabilistic error cancellation \cite{Qin2023npjQI,Tsubouchi2025npjQI}. The quasi-probability reweighting suppresses the bias of the noisy result and moves the mean fidelity toward the ideal value, but it also amplifies the statistical fluctuation of the estimator. Therefore, the PEC results become more accurate in their mean value while also exhibiting a larger variance.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\Symmetric Clifford twirling for cost-optimal quantum error mitigation in early FTQC regime\Supplementary Symmetric Clifford twirling for cost-optimal.pdf"
"Henao2023npjQI","Adaptive quantum error mitigation using pulse-based inverse evolutions","Line 151; Line 876; Line 975","L151: This chapter presents the theoretical framework required by the proposed automated PEC package. Rather than repeating the general motivation already given in Chapter 1, the focus here is placed on the technical concepts that directly support the package design, including quasi-probability-based inversion, the Pauli transfer matrix (PTM) representation, Pauli twirling, and the distinction between observable-level and gate-level mitigation. These ingredients provide the common language used by the class-based implementation described in the following chapter, and they also connect naturally to recent developments in practical and data-driven QEM workflows \cite{Bultrini2023Quantum,Henao2023npjQI}.

L876: Taken together, these teleportation results demonstrate two important points. In addition, the device-dependent truncation behavior is compatible with the broader practical-QEM picture reported in recent mitigation studies, where noise structure and mitigation overhead jointly determine the final execution cost \cite{Qin2023npjQI,Henao2023npjQI,Liao2024NatMachIntell}. First, the proposed PEC package can effectively improve noisy-circuit results for the teleportation task. Second, the same class-based mitigation workflow remains valid across different IBM-device noisy models, which supports the general applicability of the package rather than a device-specific tuning to a single backend.

L975: Several directions remain open for future work. In particular, one promising direction is to combine the present class-based PEC workflow with recent machine-learning-assisted mitigation strategies and adaptive inverse-construction schemes \cite{Kim2020IEEEAccess,Liao2024NatMachIntell,Henao2023npjQI,Adeniyi2025QMI}. First, the package may be extended to support more general noise models and hardware-specific calibration strategies. Second, the current workflow can be integrated more closely with higher-level circuit management and experiment orchestration tools. Third, the truncation strategy may be refined further to balance mitigation accuracy and sampling cost more adaptively. These extensions would improve the usability and scalability of the package for broader NISQ-era applications.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Package\QCS56647.2022.00015 Automated quantum error mitigation based on probabilistic error reduction.pdf"
"Adeniyi2025QMI","Adaptive neural network for quantum error mitigation","Line 975","L975: Several directions remain open for future work. In particular, one promising direction is to combine the present class-based PEC workflow with recent machine-learning-assisted mitigation strategies and adaptive inverse-construction schemes \cite{Kim2020IEEEAccess,Liao2024NatMachIntell,Henao2023npjQI,Adeniyi2025QMI}. First, the package may be extended to support more general noise models and hardware-specific calibration strategies. Second, the current workflow can be integrated more closely with higher-level circuit management and experiment orchestration tools. Third, the truncation strategy may be refined further to balance mitigation accuracy and sampling cost more adaptively. These extensions would improve the usability and scalability of the package for broader NISQ-era applications.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\ML&QEM\Quantum Error Mitigation With Artificial Neural Network\Quantum_Error_Mitigation_With_Artificial_Neural_Network.pdf"
"Khatri2020QIP","General error mitigation for quantum circuits","Line 134","L134: Because of these practical limitations, quantum error mitigation (QEM) has emerged as an important near-term alternative \cite{Temme2017PRL,Endo2021JPSJ,Cai2023RMP}. Unlike QEC, QEM does not attempt to fully correct errors during computation. Instead, it aims to reduce the effect of noise on measured observables through circuit-level processing and classical post-processing \cite{Bonet2018PRA,Huo2022PRA,Cai2023RMP}. This makes QEM especially attractive for present-day devices, where qubit numbers and fidelities are still limited \cite{Khatri2020QIP}.","Used as foundational support for quantum error mitigation as a near-term strategy.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PhysRevLett.119.180509 Error Mitigation for Short-Depth Quantum Circuits.pdf"
"Song2019SciAdv","Quantum computation with universal error mitigation on a superconducting quantum processor","Line 142; Line 164","L142: To address this issue, we develop an automated PEC package for near-term quantum computers \cite{Wang2021Automated,Song2019SciAdv,Zhang2020NatCommun}. The package integrates the major components of PEC into a unified workflow, including observable-level readout mitigation, Pauli-twirled two-qubit gate mitigation, automated circuit transformation, weighted execution, and truncation-based sampling reduction. It is designed with a modular structure so that users can flexibly adapt noise models, target circuits, and execution backends without rebuilding the full mitigation pipeline from scratch.

L164: In practice, PEC is implemented by sampling correction operations according to the magnitudes of the quasi-probability coefficients and combining the resulting measurement outcomes with signed weights. In this way, the average over many randomized circuit executions reproduces the ideal expectation value under the assumed noise model. Therefore, PEC transforms the noise-mitigation problem into a combination of calibration, sampling, and classical post-processing \cite{Temme2017PRL,Endo2018PRX,Song2019SciAdv}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\Quantum computation with universal error mitigation on a superconducting quantum processor.pdf"
"Zhang2020NatCommun","Error-mitigated quantum gates exceeding physical fidelities in a trapped-ion system","Line 142","L142: To address this issue, we develop an automated PEC package for near-term quantum computers \cite{Wang2021Automated,Song2019SciAdv,Zhang2020NatCommun}. The package integrates the major components of PEC into a unified workflow, including observable-level readout mitigation, Pauli-twirled two-qubit gate mitigation, automated circuit transformation, weighted execution, and truncation-based sampling reduction. It is designed with a modular structure so that users can flexibly adapt noise models, target circuits, and execution backends without rebuilding the full mitigation pipeline from scratch.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\s41467-020-14376-z Error-mitigated quantum gates exceeding physical.pdf"
"vanDenBerg2022PRA","Model-free readout-error mitigation for quantum expectation values","Line 256","L256: We first consider readout-noise mitigation at the observable level \cite{vanDenBerg2022PRA,Aasen2024CommunPhys}. In the Pauli transfer matrix (PTM) representation, any single-qubit observable can be expanded on the Pauli basis $\{\hat{\sigma}_0, \hat{\sigma}_x, \hat{\sigma}_y, \hat{\sigma}_z\}$, where $\hat{\sigma}_0 = \widehat{I}$ denotes the identity operator and $\hat{\sigma}_x$, $\hat{\sigma}_y$, and $\hat{\sigma}_z$ are Pauli matrices. Due to readout noise, the experimentally realized observable is distorted as","Used to support observable-level readout-noise mitigation or readout-error characterization.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\ZNE\s41567-022-01914-3 Scalable error mitigation for noisy quantum circuits produces competitive expectation values.pdf"
"He2020PRA","Zero-noise extrapolation for quantum-gate error mitigation with identity insertions","Line 136","L136: Among existing QEM methods, zero-noise extrapolation (ZNE) is one of the most widely used because of its conceptual simplicity and relative ease of implementation. ZNE works by intentionally amplifying circuit noise, for example through gate folding or pulse stretching \cite{He2020PRA, Dumitrescu2018PRL}, and then extrapolating the measured values back to the zero-noise limit \cite{Kim2023Nature}. Although effective in many small-scale demonstrations, ZNE becomes less reliable for deeper circuits, where accumulated noise and finite coherence time lead to large uncertainty in the extrapolation \cite{Takagi2022PRL, Quek2023PRL}. Moreover, because ZNE does not explicitly invert the noise process, its correction capability is limited when the error structure becomes more complicated.","Used to support the description, motivation, or limitations of zero-noise extrapolation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\ZNE\PhysRevA.102.012426 Zero-noise extrapolation for quantum-gate error mitigation with identity insertions.pdf"
"Dumitrescu2018PRL","Cloud quantum computing of an atomic nucleus","Line 136","L136: Among existing QEM methods, zero-noise extrapolation (ZNE) is one of the most widely used because of its conceptual simplicity and relative ease of implementation. ZNE works by intentionally amplifying circuit noise, for example through gate folding or pulse stretching \cite{He2020PRA, Dumitrescu2018PRL}, and then extrapolating the measured values back to the zero-noise limit \cite{Kim2023Nature}. Although effective in many small-scale demonstrations, ZNE becomes less reliable for deeper circuits, where accumulated noise and finite coherence time lead to large uncertainty in the extrapolation \cite{Takagi2022PRL, Quek2023PRL}. Moreover, because ZNE does not explicitly invert the noise process, its correction capability is limited when the error structure becomes more complicated.","Used to support the description, motivation, or limitations of zero-noise extrapolation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\ZNE\PhysRevLett.120.210501 Cloud Quantum Computing of an Atomic Nucleus.pdf"
"Kim2023Nature","Scalable error mitigation for noisy quantum circuits produces competitive expectation values","Line 136","L136: Among existing QEM methods, zero-noise extrapolation (ZNE) is one of the most widely used because of its conceptual simplicity and relative ease of implementation. ZNE works by intentionally amplifying circuit noise, for example through gate folding or pulse stretching \cite{He2020PRA, Dumitrescu2018PRL}, and then extrapolating the measured values back to the zero-noise limit \cite{Kim2023Nature}. Although effective in many small-scale demonstrations, ZNE becomes less reliable for deeper circuits, where accumulated noise and finite coherence time lead to large uncertainty in the extrapolation \cite{Takagi2022PRL, Quek2023PRL}. Moreover, because ZNE does not explicitly invert the noise process, its correction capability is limited when the error structure becomes more complicated.","Used to support the description, motivation, or limitations of zero-noise extrapolation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\ZNE\s41567-022-01914-3 Scalable error mitigation for noisy quantum circuits produces competitive expectation values.pdf"
"Takagi2022PRL","Fundamental limits of quantum error mitigation","Line 136","L136: Among existing QEM methods, zero-noise extrapolation (ZNE) is one of the most widely used because of its conceptual simplicity and relative ease of implementation. ZNE works by intentionally amplifying circuit noise, for example through gate folding or pulse stretching \cite{He2020PRA, Dumitrescu2018PRL}, and then extrapolating the measured values back to the zero-noise limit \cite{Kim2023Nature}. Although effective in many small-scale demonstrations, ZNE becomes less reliable for deeper circuits, where accumulated noise and finite coherence time lead to large uncertainty in the extrapolation \cite{Takagi2022PRL, Quek2023PRL}. Moreover, because ZNE does not explicitly invert the noise process, its correction capability is limited when the error structure becomes more complicated.","Used to support the description, motivation, or limitations of zero-noise extrapolation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\ZNE\s41534-022-00618-z Fundamental limits of quantum error mitigation.pdf"
"Quek2023PRL","Exponentially tighter bounds on limitations of quantum error mitigation","Line 136","L136: Among existing QEM methods, zero-noise extrapolation (ZNE) is one of the most widely used because of its conceptual simplicity and relative ease of implementation. ZNE works by intentionally amplifying circuit noise, for example through gate folding or pulse stretching \cite{He2020PRA, Dumitrescu2018PRL}, and then extrapolating the measured values back to the zero-noise limit \cite{Kim2023Nature}. Although effective in many small-scale demonstrations, ZNE becomes less reliable for deeper circuits, where accumulated noise and finite coherence time lead to large uncertainty in the extrapolation \cite{Takagi2022PRL, Quek2023PRL}. Moreover, because ZNE does not explicitly invert the noise process, its correction capability is limited when the error structure becomes more complicated.","Used to support the description, motivation, or limitations of zero-noise extrapolation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\ZNE\s41567-024-02536-7 Exponentially tighter bounds on limitations of quantum error mitigation.pdf"
"Endo2018PRX","Practical Quantum Error Mitigation for Near-Future Applications","Line 138; Line 164","L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.

L164: In practice, PEC is implemented by sampling correction operations according to the magnitudes of the quasi-probability coefficients and combining the resulting measurement outcomes with signed weights. In this way, the average over many randomized circuit executions reproduces the ideal expectation value under the assumed noise model. Therefore, PEC transforms the noise-mitigation problem into a combination of calibration, sampling, and classical post-processing \cite{Temme2017PRL,Endo2018PRX,Song2019SciAdv}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\PhysRevX.8.031027 Practical Quantum Error Mitigation for Near-Future Applications.pdf"
"Berg2023NatPhys","Probabilistic error cancellation with sparse Pauli-Lindblad","Line 138; Line 138","L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.

L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\Probabilistic error cancellation with  sparse Pauli-Lindblad models on noisy quantum processors\s41567-023-02042-2 Probabilistic error cancellation with sparse Pauli-Lindblad models on noisy quantum processors.pdf"
